accession,species_name
GBSH01,Boiga irregularis
GAAZ01,Crotalus horridus
GDAY02,Agkistrodon contortrix contortrix
GBKC01,Crotalus horridus
GAEP01,Micrurus fulvius
GBKD01,Crotalus horridus
GBSI01,Hypsiglena sp. JMG-2014
GFAH01,Hadrurus spadix
GDAZ01,Agkistrodon conanti
GEDR01,Bothrops atrox
GDBH01,Micrurus tener
GCJM01,Conus tribblei
GFCD01,Superstitionia donensis
GDBI01,Sistrurus tergeminus
GCVH01,Conus lenavati
GDAY01,Agkistrodon contortrix contortrix
GDBJ01,Sistrurus miliarius barbouri
GFBG01,Megacormus gertschi
GDBA01,Boiga irregularis
GAIH01,Conus victoriae
GCVM01,Conus tribblei
GDBD01,Crotalus horridus
GDBE01,Hypsiglena sp. JMG-2014
GBRA01,Gemmula speciosa
GAHH01,Pseudonaja modesta
GEHL01,Phalotris mertensi
GAQE01,Trittame loki
GAHG01,Hoplocephalus bungaroides
GAHF01,Hemiaspis signata
GBQY01,Unedogemmula bisaya
GAHE01,Furina ornata
GAHB01,Cacophis squamulosus
GAGZ01,Acanthophis wellsi
GAHD01,Echiopsis curta
GALL01,Lychas buchari
GAHA01,Brachyurophis roperi
GAKS01,Crotalus oreganus helleri
GAHI01,Suta fasciata
GAJN01,Conus geographus
GAKQ01,Crotalus oreganus helleri
GALC01,Crotalus oreganus helleri
GAGI01,Abdopus aculeatus
GAHJ01,Vermicella annulata
GBQZ01,Crassispira cerithina
GAHC01,Denisonia devisi
GALI01,Urodacus manicatus
GALK01,Isometroides vescus
GAKR01,Crotalus oreganus helleri
GAGN01,Sepioteuthis australis
GALH01,Cercophonius squama
GAGL01,Octopus cyanea
GAGJ01,Hapalochlaena maculosa
GAGP01,Sepia pharaonis
GAGK01,Uroteuthis noctiluca
GAGO01,Octopus kaurna
GAGQ01,Sepia latimanus
GAGM01,Pareledone turqueti
GALG01,Australobuthus xerolimniorum
